,Topic_24,Topic_37,Topic_49,Topic_36,Topic_34,Topic_2,Topic_29,Topic_41,Topic_25,Topic_9,Topic_44,Topic_20,Topic_33,Topic_11,Topic_12,Topic_19,Topic_47,Topic_31,Topic_39,Topic_7
BATF,0.3884502845583726,0.43451946774051575,0.13307800342611398,0.3667679371409689,0.1352873764142043,0.4985738092064831,0.5735870515041219,0.5464296282943297,0.19608949449928148,0.42698154249116493,0.2664663404894594,0.4415070811278652,0.8082764631870936,0.6040592719697535,0.0,0.8662914309196186,0.12952308120469758,0.9999999999999998,0.8320402955472108,0.9699696555526416
BCL11A,0.6581465517081336,0.4335142437403534,0.9999999999999999,0.5770031052976278,0.26037647611955117,0.244036850998403,0.3500585176001736,0.5322240629424926,0.3064577069513226,0.21077108892411278,0.10756189792996235,0.0,0.027005889529046756,0.1969348750055283,0.19318407112731795,0.05952124469036296,0.2838179675476141,0.19224598760096234,0.40194599699343325,0.40936905431903947
BCL11B,0.9558490143873026,0.7605043017843309,0.9106199197075902,0.8109146766598212,1.0,0.5429338524297326,0.725750288354654,0.5698132204258246,0.5121349900814147,0.36708970202330404,0.15205841485206795,0.072953332099077,0.0,0.1489018813876153,0.26333891299313794,0.010044918224462906,0.4519236974501155,0.3738994287791271,0.503806703876692,0.4509741094305716
BCL6,0.0,0.06784555116519553,0.24108076836503378,0.5991781591364949,0.7733673837708457,0.2763086817839643,0.512241273900917,0.46426132496901906,0.750527255510399,0.7217143648080715,0.793153570538591,1.0,0.5008395420537259,0.7155953655984908,0.6924121666302812,0.5285895920626285,0.5854087446759313,0.6374059475175908,0.5210297994899269,0.5960107694900607
BHLHE40,0.04433545565980401,0.0756751394927867,0.0,0.15361189090624688,0.07654743852012252,0.023056260848952514,0.26366378455951744,0.24552042932812335,0.4897877303254655,0.7686056400694108,0.7299374898804172,0.7307427492088028,0.7102344007034045,0.8304494082919489,0.8852049857686166,1.0,0.21178764153539142,0.6093996533040773,0.2459156249305291,0.4376935371455718
BHLHE41,0.2843341956417935,0.2655690613588896,0.017354903839987168,0.043450389403563716,0.0,0.17499128090582583,0.18131110183410182,0.28500274729698527,0.06851944659397907,0.6104778686297057,0.7197667033138906,0.7606106497476302,0.6688834692171697,1.0,0.46856273578884877,0.8781643161880852,0.22441960936716587,0.3543462062919053,0.25701960295539783,0.3684716113572869
CEBPA,0.7748787075243886,0.40377390809837244,0.3810418009952643,0.3955997466566541,0.17874117596838657,0.4570037427561555,0.7991900122365401,0.32721694031285087,0.03371264193359291,1.0,0.305223024316607,0.7372806491845576,0.9736502377298171,0.6205702492917551,0.945406878329579,0.9797170369057504,0.3460415396174865,0.46446289941124297,0.0,0.7772828470602322
CEBPB,0.01914290643121752,0.06258862013533195,0.056006017235347705,0.060158580069798795,0.0,0.12735157136512854,0.5564740465982244,0.4249213413703222,0.30535208104700795,0.484670841656626,0.410479666786726,0.5218403865057192,0.9485077877936002,0.7429278285528614,0.4173586593826938,1.0,0.19575313742478173,0.412488568313338,0.020661363094233165,0.5079968792839683
CEBPD,0.03947452271089141,0.09690002024009914,0.0,0.1277633918601968,0.04580266694189067,0.05326427165839809,0.13423099960573248,0.030460620709365782,0.45443329652445486,0.6867031102438031,0.8440952879886646,0.9999999999999999,0.7189604770835128,0.6112075666836265,0.7474327278794787,0.7223698698884985,0.20326740440376967,0.38770338609487787,0.20725855524535997,0.49024603291218904
CREB5,0.12683588050753336,0.2736038388396689,0.0,0.4809049707358142,0.4658200075859322,0.3037518477980181,0.5054281951871724,0.4293033984080834,0.5769674154555502,0.8012022826150025,0.05037461433568202,0.14980698018795602,0.5066107217549942,0.5132326018124389,0.4573577354808087,0.6035168633632173,0.3439865846284573,0.9715657800868218,1.0,0.34203494552204283
