,Topic_24,Topic_37,Topic_49,Topic_36,Topic_34,Topic_2,Topic_29,Topic_41,Topic_25,Topic_9,Topic_44,Topic_20,Topic_33,Topic_11,Topic_12,Topic_19,Topic_47,Topic_31,Topic_39,Topic_7
BACH2,1.0,0.8172029309182602,0.5138109241001694,0.0,0.20661825814952378,0.45230356761128976,0.23667461057801142,0.4248923099591315,0.3489226031419918,0.1312290025866879,0.1986518434062261,0.03060806475094109,0.09273503232692946,0.16179882061842799,0.20326239652352612,0.15569693291156778,0.20231366874982398,0.0897464332294896,0.5404646984461338,0.1435686678718816
BATF,0.12471739764251351,0.1479618296155843,0.06089387603227123,0.029102715586535835,0.0,0.05671843531294714,0.026198190078822098,0.03376689256177241,0.028184339990412255,0.003674003171077328,0.008735869206988496,0.1464198801844644,0.1469135017561567,0.3478241796115176,0.06744786341145823,0.3256817236385787,0.09700596622569753,0.09983355240478926,0.1895984356974359,0.9999999999999998
BCL11A,0.6514302789250557,0.14988817587242378,1.0,0.32523996291770957,0.08255367484379254,0.08006995336933533,0.07996426084619483,0.2154426803426438,0.10878419625228301,0.03295506786061085,0.0335364049476546,0.0,0.007843989980668051,0.017240839099147774,0.06617042607167488,0.03433049148853563,0.10938539646284848,0.03217388253588972,0.0665406544093229,0.26771944828492733
BCL11B,1.0000000000000002,0.2511927530482339,0.9210833856587227,0.2108827974056331,0.11136973557636262,0.01291034903363128,0.03547304389959906,0.14358420322222598,0.0519688041648112,0.015505577461527652,0.004763813306343765,0.0,0.002011234890281018,0.022353470727327206,0.04748991171030968,0.0173096805778414,0.06145248141294388,0.016266096206625984,0.07714340449380555,0.15927172552086438
BCL6,0.0,0.043304575891804135,0.042347220440452686,0.6391336311568416,0.7924800554680783,0.28815316888702797,0.35719396933890096,0.3924314811554529,0.9045578675015862,0.28346971082574585,0.9294877885290219,0.21801491255425287,0.27810559049612793,1.0,0.7249833006267555,0.8426181345268458,0.9074581495273266,0.4287724389313208,0.26124794743017954,0.2828378397099445
BHLHE40,0.0,0.0009375272778786428,0.004005384651039594,0.0019418038349884145,0.001992011588937691,0.00351747520270215,0.025383164894224423,0.017106656312222596,0.04838506825385794,0.07429605370357396,0.07554271749968636,0.08330745043208419,0.04714547383416289,0.9999999999999999,0.38645165021132044,0.32613389254500463,0.009500050225089296,0.10716371103000268,0.05848373328661788,0.04644132608914234
BHLHE41,0.02196406638711106,0.03796195187878135,0.0,0.0007744795937927201,0.00048472811763620007,0.0122296384445726,0.0060732620446606045,0.005800706364724207,0.008556967145634484,0.10169285827873281,0.123186923804085,0.07541540056959957,0.06212037854930478,1.0,0.27336189505659625,0.32125344419554464,0.004226457776083884,0.08245481373558532,0.23262235969909517,0.09824748455324557
CEBPA,0.0403579301605869,0.05150321142889821,0.038457087784001004,0.06461814611849162,0.005459953271776563,0.03055476168762837,0.04613022827114204,0.004564896960198701,0.0,0.07638830814427683,0.08863268527226198,0.1308131769907975,0.0351451156257722,0.9999999999999999,0.17523367789548136,0.2563661084313132,0.015453689382330452,0.14410224466452337,0.39612121955977,0.39178566451947544
CEBPB,0.0030400185133356615,0.003986063867047331,0.004101234694547985,0.003926098832565678,0.0008930699327160899,0.001973359850113533,0.026272304558820084,0.03539595979538927,0.021905916191238415,0.04753708779166363,0.0410345972477027,0.04976293497191141,0.020804811590398434,1.0,0.09095227883667246,0.29657598221099973,0.0,0.061384491853529975,0.04819996806450392,0.07749982425241148
CEBPD,2.2240727051114385e-05,0.006545259494348877,0.0075271474350342375,0.00826526387161469,0.0033572564246978995,0.0003162065658776211,0.010690865437052095,0.0,0.09918365930493227,0.17696165324248433,0.22529570507851268,0.2848333218844693,0.02384772383812734,1.0,0.42202810993995593,0.39846699144512643,0.004753250765751492,0.23331052789714732,0.09652808956498175,0.10963935574541127
CREB5,0.004033087906820693,0.23115280301756483,0.0,0.20824190415878982,0.8113003770292864,0.23002054952681464,0.8497267766727525,0.580976005688014,0.9101949144408819,0.6924023762048811,0.13574312992670431,0.17123683873697568,0.6967769115180602,0.5283682930272068,0.4473937358196983,0.47165229606423964,0.45105338581211263,0.54699341264072,1.0,0.4326107353110694
